Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"(but they all don't care cause they have) ""No Underwear""","Barricade Wall > Valley of the Gods > Southeast Utah > Utah",https://www.mountainproject.com/route/108069522/but-they-all-dont-care-cause-they-have-no-underwear,3.0,-1,"Trad, Sport",5.10c,1,85,37.3276,-109.8343
"Zig Zag","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106146106/zig-zag,1.7,-1,Sport,5.10+,1,,38.54668,-109.59959
"Jacob's Ladder","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106562992/jacobs-ladder,2.5,-1,Sport,"5.10+ R",1,35,38.54668,-109.59959
"Pocket  Rocket","Day Canyon Cragging Routes > Day Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106297965/pocket-rocket,3.6,-1,Sport,5.10c,1,65,38.56973,-109.66167
"Tax Free $","Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106466062/tax-free,3.1,-1,Sport,5.10c,1,95,38.5714,-109.5815
Androids,"Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106466032/androids,2.5,-1,Sport,5.10+,1,40,38.5714,-109.5815
"Space Oddity","Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/119147895/space-oddity,2.0,-1,Sport,5.10+,1,45,38.5714,-109.5815
"A Pound Of Choss","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/122081807/a-pound-of-choss,2.8,-1,Sport,5.10b/c,1,75,38.66113,-109.4994
"Taming of the Boo","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112556972/taming-of-the-boo,3.1,-1,Sport,5.10c,1,75,38.66113,-109.4994
"Frothing For Pockets","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/122315288/frothing-for-pockets,2.8,-1,Sport,5.10c,1,70,38.66113,-109.4994
"Eye of Newt","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/124191884/eye-of-newt,2.3,-1,Sport,5.10+,1,80,38.66113,-109.4994
"Life Is A Banquet","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120424692/life-is-a-banquet,2.9,-1,Sport,5.10c/d,1,60,38.66113,-109.4994
"What's In A Name?","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/124247143/whats-in-a-name,3.0,-1,Sport,5.10d,1,70,38.66113,-109.4994
"Side Show","The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/117963089/side-show,2.4,-1,Sport,5.10c,1,85,38.66006,-109.49974
"Dirty Harry Sends the Gnar","The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120002985/dirty-harry-sends-the-gnar,2.3,-1,Sport,5.10b/c,1,75,38.6618,-109.49886
"The Underling","The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120003014/the-underling,2.0,-1,Sport,5.10+,1,75,38.6618,-109.49886
"Hot Karl Sunday","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/105936665/hot-karl-sunday,2.9,-1,Sport,5.10c,1,90,38.5092,-109.5995
"Vanilla Cream","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/106258086/vanilla-cream,1.8,-1,"Trad, Sport",5.10+,1,70,38.5092,-109.5995
"Earth Muffin Express","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/113794541/earth-muffin-express,2.7,-1,Sport,"5.10c/d PG13",1,70,38.5092,-109.5995
"Lesson in Braille","Sunshine Wall Routes > Sunshine Wall > Southeast Utah > Utah",https://www.mountainproject.com/route/106403207/lesson-in-braille,2.9,-1,Sport,5.10c,1,80,38.8607,-109.7425
"Walking on Sunshine","Sunshine Wall Routes > Sunshine Wall > Southeast Utah > Utah",https://www.mountainproject.com/route/105718024/walking-on-sunshine,2.5,-1,Sport,5.10d,1,80,38.8607,-109.7425
Funktastic,"Sunvana Wall > Muleshoe Canyon > 191 South > Southeast Utah > Utah",https://www.mountainproject.com/route/108717459/funktastic,3.0,-1,"Trad, Sport","5.10+ PG13",2,125,38.3615,-109.4306
"Afternoon Delight","Lower Canyon Boulders > Calf Canyon > Bluff > 191 South > Southeast Utah > Utah",https://www.mountainproject.com/route/114011285/afternoon-delight,2.0,-1,Sport,5.10c,1,30,37.29231,-109.55245
"Bow Tie","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/105718333/bow-tie,2.3,-1,Sport,5.10d,1,70,38.49691,-109.31021
"Grateful He's Dead","The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/106280353/grateful-hes-dead,2.9,-1,Sport,"5.10d PG13",1,60,38.49649,-109.31053
"Nate and Renee's","Other Mill Creek Areas > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/123317910/nate-and-renees,2.0,-1,Sport,5.10+,1,80,38.49974,-109.30695
Strainer,"The Confluence > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/111958999/strainer,3.6,-1,Sport,5.10b/c,1,115,38.49515,-109.31586
"Crosstown Traffic","The Confluence > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/112029034/crosstown-traffic,3.0,-1,Sport,5.10+,1,80,38.49515,-109.31586
"Extended Benefits","Job Board > North Fork > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/107928161/extended-benefits,2.5,-1,Sport,5.10d,1,60,38.5632,-109.542
"Czechoslovakian Vagina","Good Times Wall > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794477/czechoslovakian-vagina,1.6,-1,Sport,5.10b/c,1,,38.47194,-109.28111
"Bone Doctor","Good Times Wall > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794494/bone-doctor,3.0,-1,Sport,5.10+,1,,38.47194,-109.28111
"Story of My Life","Times Wall > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794542/story-of-my-life,2.5,-1,Sport,5.10c,1,,38.47194,-109.28026
"In Dew Time","Times Wall > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/114484503/in-dew-time,2.7,-1,Sport,5.10+,1,70,38.47194,-109.28026
"Hand Prints","Times Wall > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794529/hand-prints,2.7,-1,Sport,5.10d,1,,38.47194,-109.28026
"Lawn Dart","Times Wall > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794535/lawn-dart,2.5,-1,Sport,5.10d,1,,38.47194,-109.28026
"Gate Keeper","Ghostbuster Crag > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794700/gate-keeper,2.0,-1,Sport,5.10d,1,,38.47171,-109.27949
"Key Master","Ghostbuster Crag > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794708/key-master,2.0,-1,Sport,5.10d,1,,38.47171,-109.27949
"Mighty Re-arranger","Mighty Re-arranger > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794713/mighty-re-arranger,4.0,-1,Sport,5.10b/c,1,,38.4716,-109.27892
Hydroponics,"Ganja Wall > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794723/hydroponics,3.5,-1,Sport,5.10d,1,,38.47144,-109.27882
"Hot Chicks on Wet Bikes","Trenchtown > Upper Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794222/hot-chicks-on-wet-bikes,3.5,-1,Sport,5.10+,1,75,38.47028,-109.27448
"More Beers than Bolts","Bowknot Bend Saddle > Bowknot Bend > Labyrinth Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/119769647/more-beers-than-bolts,2.5,-1,Sport,5.10b/c,1,30,38.60635,-110.0332
"Helitack Tower","Sheely Tunnel Wall > Ken's Lake > Southeast Utah > Utah",https://www.mountainproject.com/route/121792557/helitack-tower,1.8,-1,Sport,5.10+,3,320,38.48344,-109.40927
Rincon,"The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107714676/rincon,2.4,-1,Sport,5.10c,1,35,40.44666,-111.68668
Mucus,"The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107309168/mucus,2.2,-1,Sport,5.10d,1,40,40.44666,-111.68668
"Steel Monkey","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106017395/steel-monkey,2.7,-1,Sport,5.10d,1,50,40.44666,-111.68668
"Teenagers in Heat","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106030797/teenagers-in-heat,2.4,-1,Sport,5.10c,1,60,40.4503,-111.668
"Remote  Control","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105739961/remote-control,2.7,-1,Sport,5.10d,1,,40.4503,-111.668
"Kiddie Pool","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/111001031/kiddie-pool,2.9,-1,Sport,5.10d,1,50,40.4503,-111.668
"Baby Shark","Division Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/124741847/baby-shark,2.4,-1,Sport,5.10d,1,40,40.4503,-111.668
Denied,"Escape Buttress > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105999582/denied,1.8,-1,Sport,5.10b/c,1,60,40.4511,-111.6701
Motherload,"Escape Buttress > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106009113/motherload,1.7,-1,Sport,5.10b/c,1,35,40.4511,-111.6701
"Steel Graffiti","Escape Buttress > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105847408/steel-graffiti,2.2,-1,Sport,5.10c,1,80,40.4511,-111.6701
"Monkey Meet","Escape Buttress > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741086/monkey-meet,3.0,-1,Sport,5.10d,1,80,40.4511,-111.6701
"Inside Information","Escape Buttress > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105741332/inside-information,2.5,-1,Sport,5.10d,1,60,40.4511,-111.6701
Treehugger,"Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105837747/treehugger,1.8,-1,Sport,5.10b/c,1,45,40.4507,-111.6717
"Unknown Roof Crack","Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107806119/unknown-roof-crack,2.6,-1,Sport,5.10b/c,1,120,40.4507,-111.6717
"Unknown 5.10c","Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106018717/unknown-510c,2.6,-1,Sport,5.10c,1,90,40.4507,-111.6717
Firstborn,"Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106050295/firstborn,2.8,-1,Sport,5.10c,1,45,40.4507,-111.6717
"Unknown 5.10+","Hard Rock > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107306550/unknown-510,2.4,-1,Sport,5.10+,1,90,40.4507,-111.6717
Unknown,"Juniper Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106756659/unknown,3.1,-1,Sport,5.10d,1,75,40.4461,-111.6948
"Scooby Snack","Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106812458/scooby-snack,1.2,-1,Sport,5.10d,1,65,40.44647,-111.68747
"Fern Gully","Isolation Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/110646387/fern-gully,2.5,-1,Sport,5.10b/c,1,30,40.44649,-111.68579
"Black Number 0","Isolation Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/111001261/black-number-0,2.2,-1,Sport,5.10c,1,30,40.44649,-111.68579
Quarantined,"Isolation Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/121288504/quarantined,2.5,-1,Sport,5.10d,1,50,40.44649,-111.68579
"Gator Tots","Little Mill Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/122812670/gator-tots,3.0,-1,"Sport, TR",5.10c/d,1,70,40.4493,-111.6726
"Reign In Blood","The B-52 Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/118045052/reign-in-blood,3.5,-1,Sport,5.10c,1,70,40.44548,-111.69298
"Pinchers of Peril","The B-52 Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/118045192/pinchers-of-peril,2.8,-1,Sport,5.10d,1,50,40.44548,-111.69298
"Return of the Prince","Necromancer > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106871573/return-of-the-prince,1.7,-1,Sport,5.10c,1,45,40.4323,-111.751
"Sam Adams","Beer Can Alley > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106481509/sam-adams,2.7,-1,Sport,5.10d,1,45,40.4452,-111.6982
Warthog,"Miscellaneous Scattered Routes > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106492936/warthog,2.0,-1,"Sport, TR",5.10c,1,35,40.4469,-111.6881
"Tank Trap","Visionary Wall > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106496009/tank-trap,3.0,-1,Sport,5.10c,1,70,40.4469,-111.6881
"Dag Nasty","Visionary Wall > Tank Canyon > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106492441/dag-nasty,3.0,-1,Sport,5.10d,1,90,40.4469,-111.6881
"More of the Shame","The Shame Wall > Grey Cliffs Picnic Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107408079/more-of-the-shame,2.1,-1,Sport,5.10c,1,40,40.45,-111.6742
"Unknown Choss","The Shame Wall > Grey Cliffs Picnic Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107578539/unknown-choss,1.3,-1,Sport,5.10c,1,70,40.45,-111.6742
"The Taken","The Shame Wall > Grey Cliffs Picnic Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107436847/the-taken,2.2,-1,Sport,5.10d,1,60,40.45,-111.6742
"Unknown 2","South-Facing Wall > The Hideaway > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107628676/unknown-2,2.1,-1,Sport,5.10c,1,30,40.4477,-111.7005
Tang,"South-Facing Wall > The Hideaway > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107628701/tang,1.6,-1,Sport,5.10c,1,30,40.4477,-111.7005
"Drop Anchor","South-Facing Wall > The Hideaway > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107582956/drop-anchor,2.4,-1,Sport,5.10d,1,35,40.4477,-111.7005
"Sea Cliff","South-Facing Wall > The Hideaway > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107582962/sea-cliff,2.8,-1,Sport,"5.10d PG13",1,60,40.4477,-111.7005
Serpentine,"West-facing Wall > The Hideaway > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107587101/serpentine,1.8,-1,Sport,5.10b/c,1,45,40.4475,-111.7003
Sundance,"West-facing Wall > The Hideaway > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107587142/sundance,2.0,-1,Sport,5.10c,1,45,40.4475,-111.7003
Topaz,"West-facing Wall > The Hideaway > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107587123/topaz,1.8,-1,Sport,5.10d,1,45,40.4475,-111.7003
Afterglow,"West-facing Wall > The Hideaway > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107587147/afterglow,2.4,-1,Sport,5.10d,1,50,40.4475,-111.7003
Crescendo,"West-facing Wall > The Hideaway > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107816561/crescendo,2.3,-1,Sport,5.10d,1,40,40.4475,-111.7003
"Whip It","Unknown Pleasures > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/114438808/whip-it,3.3,-1,Sport,5.10d,1,115,40.4445,-111.6966
Shortness,"Avalanche Buttress > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107674153/shortness,1.4,-1,Sport,5.10b/c,1,35,40.4708,-111.6569
Sweetness,"Avalanche Buttress > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107674174/sweetness,2.3,-1,Sport,5.10d,1,35,40.4708,-111.6569
"The One Half","Apetizer Wall > The Billboard > The Billboard Trail > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/114013938/the-one-half,2.2,-1,Sport,5.10c,1,30,40.45152,-111.67645
"The Other Half","Apetizer Wall > The Billboard > The Billboard Trail > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/121350294/the-other-half,2.7,-1,"Sport, TR",5.10c,1,30,40.45152,-111.67645
Unknown,"Gridwall > The Billboard > The Billboard Trail > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/109099391/unknown,1.8,-1,Sport,5.10c/d,1,60,40.45145,-111.67624
Scoliosis,"The Bone Cave > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107869944/scoliosis,2.4,-1,Sport,5.10b/c,1,45,40.4514,-111.6685
Indoctrination,"The Temple > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107892369/indoctrination,3.4,-1,Sport,5.10d,1,80,40.4416,-111.7
"Unknown Corner","The Temple > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107892373/unknown-corner,3.0,-1,Sport,5.10d,1,60,40.4416,-111.7
"Hands of Blue","Haven > Serenity > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108326292/hands-of-blue,1.7,-1,Sport,5.10c,1,45,40.45117,-111.66571
"Too Pretty to Die","Eavesdown Docks > Serenity > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108326316/too-pretty-to-die,1.5,-1,Sport,5.10c,1,40,40.45095,-111.66614
"Damage My Calm","Eavesdown Docks > Serenity > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108326326/damage-my-calm,1.8,-1,Sport,5.10c,1,45,40.45095,-111.66614
Firefly,"Eavesdown Docks > Serenity > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108326384/firefly,3.5,-1,Sport,5.10c,1,110,40.45095,-111.66614
"Captain Hammer","Eavesdown Docks > Serenity > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108326336/captain-hammer,2.5,-1,Sport,5.10d,1,40,40.45095,-111.66614
