Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Outside Traverse","Crackhouse > Southeast Utah > Utah",https://www.mountainproject.com/route/112498027/outside-traverse,3.6,-1,"Sport, Boulder","5.12- V4",1,45,38.58924,-109.69932
"Small One aka Friction","Small Adventures Wall / 313 Slabs > State Highway 313 > Southeast Utah > Utah",https://www.mountainproject.com/route/112836705/small-one-aka-friction,2.5,-1,Sport,5.11c,1,100,38.65324,-109.7204
"Ferns Have Feelings Too","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/107276707/ferns-have-feelings-too,3.0,-1,Sport,5.11c,1,65,38.49691,-109.31021
Inferno,"The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/111002436/inferno,2.9,-1,Sport,5.12-,1,70,38.49691,-109.31021
"Mickey Mantle","Horse Creek > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/112001349/mickey-mantle,3.8,-1,Sport,5.12a/b,1,60,38.47684,-109.38133
"Black Widow Arete","The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/106049230/black-widow-arete,3.5,-1,Sport,5.11c,1,70,38.49649,-109.31053
"Banditos Route","The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/124981369/banditos-route,3.0,-1,Sport,5.11d,1,50,38.49649,-109.31053
"Pleasure Doing Business","Other Mill Creek Areas > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/123301840/pleasure-doing-business,2.3,-1,Sport,5.11c,1,35,38.49974,-109.30695
"Going the Distance","Other Mill Creek Areas > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/106283689/going-the-distance,3.9,-1,Sport,5.11c,1,80,38.49974,-109.30695
"Earth Shade","Other Mill Creek Areas > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/113837294/earth-shade,3.0,-1,Sport,5.11+,1,70,38.49974,-109.30695
Pickpocket,"Other Mill Creek Areas > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/123318648/pickpocket,2.5,-1,Sport,5.11d,1,70,38.49974,-109.30695
Reaganomicon,"Cold War Crags > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/124534121/reaganomicon,3.0,-1,Sport,5.11d,1,50,38.48349,-109.35649
"Crimptobiotic Pump","Gauntlet Wall > North Fork > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/107928128/crimptobiotic-pump,3.0,-1,Sport,5.11c,1,80,38.5632,-109.542
"Gray Matter","Gauntlet Wall > North Fork > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/107928101/gray-matter,4.0,-1,Sport,5.11c/d,1,80,38.5632,-109.542
"The Gauntlet","Gauntlet Wall > North Fork > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/107928119/the-gauntlet,4.0,-1,Sport,5.11d,1,110,38.5632,-109.542
"Fresh Start","Job Board > North Fork > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/107928188/fresh-start,3.0,-1,Sport,5.12a,1,80,38.5632,-109.542
"Sequential Line","Times Wall > Lower Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794547/sequential-line,3.3,-1,Sport,5.11c,1,,38.47194,-109.28026
Unnamed,"Trenchtown > Upper Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794215/unnamed,2.6,-1,Sport,5.11c/d,1,75,38.47028,-109.27448
Exodus,"Trenchtown > Upper Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794065/exodus,3.0,-1,Sport,5.11d,1,80,38.47028,-109.27448
"Alpha Blondy","Trenchtown > Upper Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794025/alpha-blondy,2.8,-1,Sport,5.12-,1,100,38.47028,-109.27448
Roofus,"Trenchtown > Upper Dakota Crag > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/110794245/roofus,2.0,-1,Sport,5.12a/b,1,,38.47028,-109.27448
"Lecherous Leanings","Mt. Timpanogos > Wasatch Alpine Areas > Wasatch Range > Utah",https://www.mountainproject.com/route/106005107/lecherous-leanings,1.9,-1,"Sport, Alpine",5.11+,7,800,40.52763,-111.72408
"License To Thrill","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/105739946/license-to-thrill,3.7,-1,Sport,5.11c,1,80,40.44666,-111.68668
"Little Big Wall","The Membrane > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106917974/little-big-wall,2.7,-1,Sport,5.11d,1,40,40.44666,-111.68668
