Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Learning to Crawl","Thumbelina > The Bridger Jacks > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/105717370/learning-to-crawl,3.6,-1,"Trad, Sport",5.11,1,165,38.08825,-109.60042
"Desert Siren (Tower)","Blue Gramma Cliff > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106727680/desert-siren-tower,2.2,-1,"Trad, Sport","5.11 PG13",2,150,38.02641,-109.5388
Apathy,"Selfish Wall > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/106720526/apathy,2.0,-1,"Trad, Sport",5.11,1,70,38.1173,-109.5757
"Trouser Snake","The Gash > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/108255841/trouser-snake,2.6,-1,"Sport, Aid","5.11- C0",1,25,38.0521,-109.5961
"Aiding and Abetting","Wall Mart > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/123442546/aiding-and-abetting,3.0,-1,Sport,5.11a/b,1,60,38.06365,-109.53468
Quickdraw,"Maverick Buttress > Long Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106892365/quickdraw,2.4,-1,Sport,5.11b,1,65,38.54492,-109.69654
"Jah Chimney","Jah Tower > Wall Street North > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/116710471/jah-chimney,3.8,-1,Sport,5.11a,1,100,38.57479,-109.58503
"Big Sky Mud Flaps","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105717733/big-sky-mud-flaps,2.9,-1,Sport,5.11a,1,100,38.54668,-109.59959
Shadowfax,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105718696/shadowfax,2.6,-1,Sport,"5.11a PG13",1,50,38.54668,-109.59959
Fernando,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106353378/fernando,3.1,-1,Sport,5.11b,1,50,38.54668,-109.59959
"Ralph the Rat","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/107582984/ralph-the-rat,2.3,-1,Sport,5.11b,1,40,38.54668,-109.59959
"Lizard Skills","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/108403309/lizard-skills,1.8,-1,Sport,5.11,1,50,38.54668,-109.59959
"White Way","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/124123475/white-way,2.0,-1,Sport,"5.11 R",1,100,38.54668,-109.59959
"Happily Ever Shafter","Priapism Pillar > Day Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112776241/happily-ever-shafter,3.5,-1,Sport,5.11-,1,100,38.56887,-109.67729
"Tender to the Touch","The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106427950/tender-to-the-touch,2.7,-1,Sport,5.11a,1,40,38.57016,-109.58106
"The Flapper","The Scar > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106427940/the-flapper,2.5,-1,Sport,5.11,1,35,38.57016,-109.58106
"Space Walker","Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/123305321/space-walker,2.0,-1,Sport,5.11-,1,80,38.5714,-109.5815
Desertglow,"Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106470397/desertglow,2.0,-1,Sport,5.11,1,60,38.5714,-109.5815
"Slap Chop","Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106474757/slap-chop,2.6,-1,"Trad, Sport",5.11,1,90,38.5714,-109.5815
"Puss in Boots","Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106548298/puss-in-boots,1.9,-1,Sport,5.11,1,60,38.5714,-109.5815
"What Dreams May Come (in memory of Dave Turner)","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/124010267/what-dreams-may-come-in-memory-of-dave-turner,2.4,-1,Sport,5.11a,1,70,38.66113,-109.4994
"Toe of Frog","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/124191950/toe-of-frog,2.0,-1,Sport,5.11a,1,80,38.66113,-109.4994
"Be True!","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120424723/be-true,2.2,-1,Sport,5.11-,1,60,38.66113,-109.4994
"An Overflow of Good","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112556994/an-overflow-of-good,3.3,-1,Sport,5.11b,1,90,38.66113,-109.4994
Encore,"The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112554704/encore,3.3,-1,Sport,5.11a,1,80,38.66006,-109.49974
"Saving Ryan’s Privates","The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120051597/saving-ryans-privates,2.3,-1,Sport,5.11a,1,35,38.66006,-109.49974
