Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Tiki Man","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/105718555/tiki-man,4.0,-1,Sport,5.13c,1,60,38.49691,-109.31021
"The Bleeding","The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/108138178/the-bleeding,4.0,-1,Sport,5.14b,1,60,38.49691,-109.31021
Doubloon,"The Wicked Crag > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/119530243/doubloon,3.0,-1,Sport,5.14b,1,90,38.49691,-109.31021
Prosthetics,"The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/112880123/prosthetics,4.0,-1,Sport,5.13d,1,90,38.49649,-109.31053
"Donut Project","The Sunny Side > Mill Creek > La Sal Mountains > Southeast Utah > Utah",https://www.mountainproject.com/route/116076135/donut-project,3.0,-1,Sport,5.14+,1,30,38.49649,-109.31053
Voodoo,"Black Magic > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/119160871/voodoo,2.0,-1,Sport,5.13c,1,,40.44472,-111.69582
"Perfect Drug","Cannabis Wall > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/107640857/perfect-drug,3.9,-1,Sport,5.13c,1,50,40.44647,-111.68747
"Bingo Baby","Bingo Baby > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106517480/bingo-baby,2.3,-1,Sport,5.13c/d,1,40,40.4461,-111.6859
"The Shining","Apetizer Wall > The Billboard > The Billboard Trail > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108164919/the-shining,3.5,-1,Sport,5.13c,1,50,40.45152,-111.67645
"The Blue Mask","Apetizer Wall > The Billboard > The Billboard Trail > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/108165237/the-blue-mask,3.8,-1,Sport,5.13c/d,1,60,40.45152,-111.67645
"Hard Blues","Apetizer Wall > The Billboard > The Billboard Trail > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/117931858/hard-blues,3.5,-1,Sport,5.14a,1,70,40.45152,-111.67645
Fryeing,"Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106516434/fryeing,3.4,-1,Sport,5.13c,1,75,40.4465,-111.69402
Linus,"Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/106516973/linus,3.7,-1,Sport,5.13c,1,40,40.4465,-111.69402
Demon-Wizard-Bat,"Hell Cave > Hell Area > American Fork Canyon > Southern Wasatch > Wasatch Range > Utah",https://www.mountainproject.com/route/118029637/demon-wizard-bat,4.0,-1,Sport,5.13c,1,50,40.4465,-111.69402
