Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Unknown,"Three Dame Crack Area > White Rocks > West Desert > Utah",https://www.mountainproject.com/route/110460160/unknown,2.0,-1,Sport,"5.8+ PG13",2,250,40.32166,-112.90192
"African Gypsy","African Gypsy > White Rocks > West Desert > Utah",https://www.mountainproject.com/route/109690863/african-gypsy,2.4,-1,Sport,5.7,3,250,40.325,-112.90189
"Impact Crater","Meteor Rock > White Rocks > West Desert > Utah",https://www.mountainproject.com/route/111806074/impact-crater,1.3,-1,"Sport, TR",5.7,1,100,40.31355,-112.91112
"Dwight Yoakam","Honkytonk Rock > South Quarry > Desert Mountain > West Desert > Utah",https://www.mountainproject.com/route/116713845/dwight-yoakam,2.0,-1,Sport,5.6,1,70,39.72954,-112.59477
"Pure Energy","Not So Happy Rock > South Quarry > Desert Mountain > West Desert > Utah",https://www.mountainproject.com/route/116714108/pure-energy,2.0,-1,Sport,5.7,1,30,39.72946,-112.5938
"Not A Good Day to Vomit","Not So Happy Rock > South Quarry > Desert Mountain > West Desert > Utah",https://www.mountainproject.com/route/116714135/not-a-good-day-to-vomit,2.0,-1,Sport,5.8,1,30,39.72946,-112.5938
"Bubble One","The Bubbles > South Quarry > Desert Mountain > West Desert > Utah",https://www.mountainproject.com/route/116729720/bubble-one,3.0,-1,Sport,5.7,1,30,39.7294,-112.59645
"Rattlesnake in the Buckbrush","Canoodle > Desert Mountain > West Desert > Utah",https://www.mountainproject.com/route/116719924/rattlesnake-in-the-buckbrush,1.5,-1,"Sport, TR",5.7,1,40,39.73739,-112.58821
"Rapid Fire Gospel Man","Canoodle > Desert Mountain > West Desert > Utah",https://www.mountainproject.com/route/116720219/rapid-fire-gospel-man,2.3,-1,Sport,5.7,1,70,39.73739,-112.58821
"OK to GO","Flame Thrower Wall > West Sector > Desert Mountain > West Desert > Utah",https://www.mountainproject.com/route/116714281/ok-to-go,1.4,-1,Sport,5.6,1,80,39.75461,-112.64261
"Irish Drinking Songs","Flame Thrower Wall > West Sector > Desert Mountain > West Desert > Utah",https://www.mountainproject.com/route/116714359/irish-drinking-songs,2.3,-1,Sport,5.7,1,80,39.75461,-112.64261
