Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Wall of Winter Warmth","Wall of Winter Warmth > Arches National Park > Southeast Utah > Utah",https://www.mountainproject.com/route/108016657/wall-of-winter-warmth,1.8,-1,Sport,5.9-,1,65,38.56319,-109.54199
"Unknown Chimney","Critic's Choice > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/121717426/unknown-chimney,2.0,-1,"Sport, TR","5.9 R",1,,38.03075,-109.60173
"Cloud Dancer","New Sub-Area 1 > Friction Slab > Entrance Corridor > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/117648758/cloud-dancer,3.0,-1,Sport,5.9,1,95,38.0258,-109.54
"The Importance of Being Varnished","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/123542570/the-importance-of-being-varnished,1.7,-1,Sport,5.9,1,65,38.54668,-109.59959
"Puppy Love","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105717802/puppy-love,1.9,-1,"Trad, Sport",5.9,1,70,38.54668,-109.59959
Potstash,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105894776/potstash,2.5,-1,Sport,5.9,1,60,38.54668,-109.59959
"Brown Banana","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106434517/brown-banana,2.2,-1,Sport,5.9,1,60,38.54668,-109.59959
"She-la the Peeler","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/107598703/she-la-the-peeler,2.1,-1,Sport,5.9,1,90,38.54668,-109.59959
"Tap Root","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/113404978/tap-root,2.0,-1,Sport,5.9,1,65,38.54668,-109.59959
"90 Paces","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/113979374/90-paces,2.1,-1,Sport,5.9,1,80,38.54668,-109.59959
"Superball Tower","Superball Tower > Day Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/108174853/superball-tower,2.8,-1,"Trad, Sport, Aid","5.9 A0 PG13",1,60,38.57355,-109.65465
Cameo,"Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106932500/cameo,2.1,-1,Sport,5.9+,1,50,38.5714,-109.5815
ker-THUD!,"River Road Dihedrals > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106234777/ker-thud,2.1,-1,"Trad, Sport",5.9,1,60,38.60702,-109.54061
"S=k log W","Utopia > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/108019831/sk-log-w,1.6,-1,"Trad, Sport","5.9- PG13",1,100,38.65092,-109.49562
"Spear of Destiny","Utopia > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/107619348/spear-of-destiny,3.6,-1,Sport,"5.9 PG13",1,90,38.65092,-109.49562
FootLoose,"The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112542539/footloose,2.3,-1,Sport,5.9,1,45,38.66006,-109.49974
"Pale Rider","The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120403157/pale-rider,2.6,-1,Sport,5.9,1,50,38.66006,-109.49974
"True Grit","The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112556961/true-grit,2.6,-1,Sport,5.9+,1,80,38.66006,-109.49974
"Brush Your Teeth","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/107920861/brush-your-teeth,2.9,-1,"Trad, Sport",5.9,1,70,38.5092,-109.5995
"Parlor Game","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/105949903/parlor-game,2.1,-1,Sport,5.9,1,50,38.5092,-109.5995
Rain,"Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/107565318/rain,2.3,-1,Sport,5.9+,1,95,38.5092,-109.5995
"Love Hurts","Sunshine Wall Routes > Sunshine Wall > Southeast Utah > Utah",https://www.mountainproject.com/route/105718015/love-hurts,2.4,-1,"Trad, Sport",5.9-,1,120,38.8607,-109.7425
"Science Friction","Sunshine Wall Routes > Sunshine Wall > Southeast Utah > Utah",https://www.mountainproject.com/route/106046536/science-friction,2.9,-1,Sport,"5.9- PG13",1,160,38.8607,-109.7425
