Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Eighth Deadly Sin","Melting Yorkshireman Mesa > House Range > West Desert > Utah",https://www.mountainproject.com/route/111452790/the-eighth-deadly-sin,3.0,-1,Sport,5.12a/b,1,,39.34266,-113.34794
"The Unforgiven","Melting Yorkshireman Mesa > House Range > West Desert > Utah",https://www.mountainproject.com/route/111452752/the-unforgiven,1.0,-1,Sport,5.12c,1,,39.34266,-113.34794
"Cryptic Slaughter","Portwoods Wall > Ophir Canyon > Oquirrh Mountains > West Desert > Utah",https://www.mountainproject.com/route/107788268/cryptic-slaughter,3.5,-1,Sport,5.12c,1,60,40.36333,-112.27082
"All Hallows'","Haunted Woods > Ophir Canyon > Oquirrh Mountains > West Desert > Utah",https://www.mountainproject.com/route/118966036/all-hallows,3.7,-1,Sport,5.12d,1,60,40.3599,-112.27363
Karma,"Haunted Woods > Ophir Canyon > Oquirrh Mountains > West Desert > Utah",https://www.mountainproject.com/route/119318872/karma,3.0,-1,Sport,5.13a,1,65,40.3599,-112.27363
"Against the Grain","Against The Grain Wall > Ophir Canyon > Oquirrh Mountains > West Desert > Utah",https://www.mountainproject.com/route/107788194/against-the-grain,3.3,-1,Sport,5.12a/b,1,35,40.35989,-112.2736
"The Beef Heart","Lunar Wall > White Rocks > West Desert > Utah",https://www.mountainproject.com/route/114063317/the-beef-heart,2.5,-1,Sport,5.12a/b,1,40,40.3244,-112.90279
"Powder Keg","The Frontera > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/108253186/powder-keg,3.7,-1,Sport,5.12c,1,40,39.5551,-111.6795
"Captain Bullet","The Frontera > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106011920/captain-bullet,3.1,-1,Sport,5.13a,1,30,39.5551,-111.6795
"The Choss Whisperer","The Frontera > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/113402192/the-choss-whisperer,2.0,-1,Sport,5.13a,1,45,39.5551,-111.6795
"Dancing with Rednecks","EFS Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106195720/dancing-with-rednecks,3.0,-1,Sport,5.12b,1,60,39.55538,-111.67556
"Brown Hole","EFS Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106195726/brown-hole,3.7,-1,Sport,5.12b,1,60,39.55538,-111.67556
"Meathook Sodomy","EFS Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/119474799/meathook-sodomy,2.5,-1,Sport,5.13a,1,45,39.55538,-111.67556
"Gong Show","Cobble Roof > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106852099/gong-show,2.6,-1,Sport,5.12c,1,75,39.55582,-111.67547
Loser,"Cobble Roof > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106500831/loser,3.9,-1,Sport,5.13a,1,70,39.55582,-111.67547
"Meat Eater","Cobble Roof > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106474854/meat-eater,2.0,-1,Sport,5.13b,1,60,39.55582,-111.67547
"In the Meantime","Ammo Dump Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106049248/in-the-meantime,3.1,-1,Sport,5.12b,1,60,39.55602,-111.6754
"Point Blank","Ammo Dump Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/108306490/point-blank,2.9,-1,Sport,5.12b,1,50,39.55602,-111.6754
Football,"Ammo Dump Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106516687/football,3.0,-1,Sport,5.12c,1,30,39.55602,-111.6754
"Ammo Dump","Ammo Dump Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106049245/ammo-dump,3.0,-1,Sport,5.12d,1,40,39.55602,-111.6754
"Bomb Squad","Ammo Dump Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106516458/bomb-squad,2.8,-1,Sport,5.12d,1,35,39.55602,-111.6754
Sluggo,"Ammo Dump Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/105985295/sluggo,3.3,-1,Sport,5.13a,1,40,39.55602,-111.6754
"Shoot Em' Up","Ammo Dump Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/105990064/shoot-em-up,3.7,-1,Sport,5.13a,1,40,39.55602,-111.6754
"Cobble in the Sky","The Arch > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106444366/cobble-in-the-sky,3.5,-1,Sport,5.12c,1,100,39.55627,-111.67596
"Cobbles N' Bits (Stalker)","The Arch > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/108231629/cobbles-n-bits-stalker,2.6,-1,Sport,5.12d,1,,39.55627,-111.67596
"Towing Jehovah","Jehovah Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/106195716/towing-jehovah,3.4,-1,Sport,5.12b,1,60,39.5551,-111.6752
"Midwife Crisis","Jehovah Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/109352596/midwife-crisis,3.8,-1,Sport,5.12c,1,65,39.5551,-111.6752
"Utah Beach","Jehovah Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110757983/utah-beach,2.5,-1,Sport,5.12c,1,,39.5551,-111.6752
"No Wife No Crisis","Jehovah Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/110757995/no-wife-no-crisis,3.0,-1,Sport,5.12c,1,,39.5551,-111.6752
Anti-venom,"Jehovah Wall > Box Canyon > Maple Canyon Road > Maple Canyon > Central Utah > Utah",https://www.mountainproject.com/route/111330472/anti-venom,2.5,-1,Sport,5.12c,1,,39.5551,-111.6752
