Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Kentucky Brown Plate","Habitado > Indian Creek > Southeast Utah > Utah",https://www.mountainproject.com/route/120625896/kentucky-brown-plate,2.5,-1,Sport,5.10a,1,50,38.04004,-109.53368
Ananab,"Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/113957710/ananab,2.4,-1,Sport,5.10a,1,45,38.54668,-109.59959
"Light of the World","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/117566372/light-of-the-world,2.7,-1,"Sport, TR",5.10a,1,90,38.54668,-109.59959
"Mini Skirt","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/108039039/mini-skirt,2.3,-1,Sport,5.10a,1,65,38.54668,-109.59959
"Arc Angel","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/110015952/arc-angel,2.4,-1,Sport,5.10a,1,,38.54668,-109.59959
"Nervous in Suburbia","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105717502/nervous-in-suburbia,3.1,-1,Sport,5.10a,1,50,38.54668,-109.59959
"Banana Peel","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105891803/banana-peel,2.6,-1,Sport,5.10a,1,55,38.54668,-109.59959
"Stego Slab","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/107461463/stego-slab,2.1,-1,Sport,5.10a,1,35,38.54668,-109.59959
"Steel Your Face","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105717625/steel-your-face,2.7,-1,Sport,5.10a/b,1,,38.54668,-109.59959
"Pounding the Frog","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/111794502/pounding-the-frog,2.3,-1,Sport,"5.10b R",1,40,38.54668,-109.59959
"Main Stream","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/123574552/main-stream,1.8,-1,Sport,5.10b,1,90,38.54668,-109.59959
"Just Another Pretty Face","Wall Street > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/105717619/just-another-pretty-face,2.6,-1,Sport,"5.10 R",1,,38.54668,-109.59959
"Boognish Tower","Boognish Tower > Day Canyon > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/108214204/boognish-tower,3.5,-1,"Trad, Sport","5.10 PG13",1,120,38.57066,-109.66948
"Two Thumbs Up","Mars > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/106470389/two-thumbs-up,1.5,-1,Sport,5.10,1,50,38.5714,-109.5815
"Juicy Tower","Middle Earth > Potash Road > Southeast Utah > Utah",https://www.mountainproject.com/route/118355133/juicy-tower,3.0,-1,"Sport, Aid","5.10 A0 R",1,60,38.55646,-109.63139
"To Boo, or Not to Boo","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112556981/to-boo-or-not-to-boo,2.9,-1,Sport,5.10a,1,75,38.66113,-109.4994
"All’s Well That Sends Well","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/116967966/alls-well-that-sends-well,2.5,-1,Sport,5.10b,1,70,38.66113,-109.4994
"Industrial Disease","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/124010189/industrial-disease,2.2,-1,Sport,5.10b,1,90,38.66113,-109.4994
"A Pound Of Choss","The Theater > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/122081807/a-pound-of-choss,2.8,-1,Sport,5.10b/c,1,75,38.66113,-109.4994
"Men in Tights","The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112542533/men-in-tights,3.3,-1,Sport,5.10a,1,95,38.66006,-109.49974
Babel,"The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/112556966/babel,2.2,-1,Sport,5.10,1,80,38.66006,-109.49974
"Hot Yoga Steve, The Movie","The Cinema > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/113027118/hot-yoga-steve-the-movie,2.3,-1,Sport,5.10,1,80,38.66006,-109.49974
"Frito Lay","The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/123299930/frito-lay,1.8,-1,Sport,5.10a,1,60,38.6618,-109.49886
"Frito Bandito","The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/124192034/frito-bandito,2.0,-1,Sport,5.10a,1,60,38.6618,-109.49886
"Muppets are Puppets Too","The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120002950/muppets-are-puppets-too,1.9,-1,Sport,5.10-,1,60,38.6618,-109.49886
"Center Stage","The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/124132921/center-stage,2.0,-1,Sport,5.10b,1,60,38.6618,-109.49886
"Dirty Harry Sends the Gnar","The Stage > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/120002985/dirty-harry-sends-the-gnar,2.3,-1,Sport,5.10b/c,1,75,38.6618,-109.49886
"Castles Made of Sand (Fall in the Sea Eventually)","The Marquee > Take-Out Beach > River Road > Southeast Utah > Utah",https://www.mountainproject.com/route/124194620/castles-made-of-sand-fall-in-the-sea-eventually,2.5,-1,Sport,5.10b,1,60,38.66053,-109.4994
"10 TR","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/107606540/10-tr,2.0,-1,"Sport, TR",5.10a,1,50,38.5092,-109.5995
Nightlight,"Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/106567193/nightlight,2.7,-1,"Trad, Sport",5.10-,1,90,38.5092,-109.5995
"Freezer Burn","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/106279716/freezer-burn,2.8,-1,"Trad, Sport",5.10b,1,90,38.5092,-109.5995
"Susie Cream Cheese (aka 5.10tr)","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/113807907/susie-cream-cheese-aka-510tr,2.1,-1,Sport,5.10b,1,50,38.5092,-109.5995
"Sticky Fingers","Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/109421340/sticky-fingers,2.7,-1,Sport,5.10,1,50,38.5092,-109.5995
Plush,"Ice Cream Parlor > Kane Springs Canyon > Southeast Utah > Utah",https://www.mountainproject.com/route/111381997/plush,3.0,-1,Sport,5.10,1,70,38.5092,-109.5995
